0.455	4695
0.456	1
0.457	111
0.458	335
0.459	84
0.46	9
0.462	2689
0.463	53
0.464	151
0.465	67
0.466	1
0.467	1775
0.468	27
0.469	109
0.471	1182
0.472	87
0.473	1
0.474	789
0.475	58
0.476	508
0.477	53
0.478	410
0.479	19
0.48	252
0.481	165
0.482	1
0.483	162
0.484	117
0.485	106
0.486	157
0.487	71
0.488	110
0.489	70
0.49	16
0.491	4
0.492	1
0.493	1
0.494	1
0.497	1
0.5	90077
0.507	1
0.508	1
0.509	7
0.51	17
0.511	47
0.512	109
0.513	59
0.514	131
0.515	66
0.516	92
0.517	103
0.518	2
0.519	144
0.52	211
0.521	11
0.522	300
0.523	51
0.524	458
0.525	56
0.526	611
0.527	2
0.528	59
0.529	878
0.53	1
0.531	82
0.532	21
0.533	1220
0.535	51
0.536	109
0.537	38
0.538	1664
0.54	5
0.541	57
0.542	191
0.543	81
0.544	1
0.545	2619
0.547	5
0.548	137
0.549	4
0.55	495
0.551	10
0.552	95
0.553	80
0.556	4472
0.557	3
0.558	37
0.559	74
0.56	173
0.561	52
0.562	895
0.563	2
0.564	40
0.565	248
0.566	1
0.567	88
0.568	89
0.569	9
0.571	8257
0.573	1
0.574	12
0.575	45
0.576	57
0.577	123
0.578	24
0.579	582
0.58	7
0.581	103
0.582	2
0.583	1594
0.585	46
0.586	83
0.587	18
0.588	713
0.59	42
0.591	307
0.592	4
0.593	112
0.594	65
0.595	94
0.596	23
0.598	3
0.6	18464
0.604	19
0.605	86
0.606	52
0.607	94
0.608	7
0.609	260
0.61	32
0.611	540
0.612	7
0.613	78
0.614	34
0.615	1099
0.617	17
0.618	46
0.619	349
0.62	8
0.621	88
0.622	81
0.623	3
0.624	1
0.625	3970
0.627	3
0.628	43
0.629	51
0.63	119
0.632	476
0.633	87
0.634	33
0.635	9
0.636	1583
0.638	16
0.639	54
0.64	127
0.641	38
0.642	5
0.643	823
0.644	25
0.645	79
0.646	11
0.647	569
0.648	1
0.649	49
0.65	336
0.651	40
0.652	202
0.653	12
0.654	93
0.655	58
0.656	52
0.657	41
0.658	57
0.659	67
0.66	34
0.661	1
0.662	1
0.667	40226
0.669	2
0.67	1
0.673	10
0.674	63
0.675	39
0.676	84
0.677	70
0.679	96
0.68	120
0.681	22
0.682	237
0.683	38
0.684	356
0.685	2
0.686	52
0.687	555
0.688	1
0.689	23
0.69	113
0.691	2
0.692	721
0.694	64
0.696	157
0.697	51
0.698	47
0.7	1500
0.702	18
0.703	58
0.704	86
0.705	32
0.706	417
0.707	45
0.708	145
0.709	1
0.71	58
0.711	70
0.712	4
0.714	4174
0.716	1
0.717	28
0.718	42
0.719	53
0.72	109
0.721	45
0.722	382
0.723	13
0.724	63
0.725	43
0.726	1
0.727	1026
0.729	17
0.73	42
0.731	66
0.732	23
0.733	472
0.735	69
0.736	6
0.737	288
0.738	39
0.739	184
0.74	8
0.741	76
0.742	56
0.743	56
0.744	64
0.745	35
0.746	1
0.75	16066
0.753	1
0.755	14
0.756	62
0.757	37
0.758	40
0.759	50
0.76	102
0.761	15
0.762	212
0.763	46
0.765	330
0.766	20
0.767	92
0.768	4
0.769	531
0.77	1
0.771	53
0.772	1
0.773	183
0.774	53
0.775	24
0.776	8
0.778	1494
0.779	1
0.78	48
0.781	46
0.783	151
0.784	55
0.786	414
0.787	19
0.788	43
0.789	232
0.79	1
0.791	23
0.792	104
0.793	47
0.794	49
0.795	61
0.796	16
0.797	4
0.799	1
0.8	9215
0.804	31
0.805	41
0.806	85
0.808	70
0.809	19
0.81	173
0.811	34
0.812	293
0.813	1
0.814	20
0.815	60
0.816	48
0.817	2
0.818	706
0.82	3
0.821	72
0.822	19
0.824	218
0.825	25
0.826	104
0.827	4
0.828	52
0.829	55
0.83	9
0.831	1
0.833	4974
0.836	1
0.837	47
0.838	28
0.839	37
